Date,Open,High,Low,Close,Adj Close,Volume
10-01-2023,227.759995,231.309998,227.330002,228.850006,227.299042,27033900
11-01-2023,231.289993,235.949997,231.110001,235.770004,234.17215,28669300
12-01-2023,235.259995,239.899994,233.559998,238.509995,236.89357,27269500
13-01-2023,237,239.369995,234.919998,239.229996,237.608704,21333300
17-01-2023,237.970001,240.910004,237.089996,240.350006,238.721115,29831300
18-01-2023,241.570007,242.380005,235.520004,235.809998,234.211868,30028700
19-01-2023,233.779999,235.520004,230.679993,231.929993,230.35817,28623000
20-01-2023,234.860001,240.740005,234.509995,240.220001,238.591995,35389800
23-01-2023,241.100006,245.169998,239.649994,242.580002,240.936005,31934000
24-01-2023,242.5,243.949997,240.440002,242.039993,240.399658,40234400
25-01-2023,234.479996,243.300003,230.899994,240.610001,238.979355,66526600
26-01-2023,243.649994,248.309998,242,248,246.319275,33454500
27-01-2023,248.990005,249.830002,246.830002,248.160004,246.478195,26498900
30-01-2023,244.509995,245.600006,242.199997,242.710007,241.065125,25867400
31-01-2023,243.449997,247.949997,242.949997,247.809998,246.130554,26541100
01-02-2023,248,255.179993,245.470001,252.75,251.037079,31259900
02-02-2023,258.820007,264.690002,257.25,264.600006,262.806763,39940400
03-02-2023,259.540009,264.200012,257.100006,258.350006,256.599121,29077300
06-02-2023,257.440002,258.299988,254.779999,256.769989,255.029816,22518000
07-02-2023,260.529999,268.769989,260.079987,267.559998,265.746704,50841400
08-02-2023,273.200012,276.76001,266.209991,266.730011,264.922333,54686000
09-02-2023,273.799988,273.980011,262.799988,263.619995,261.833374,42375100
10-02-2023,261.529999,264.089996,260.660004,263.100006,261.316925,25818500
13-02-2023,267.640015,274.600006,267.149994,271.320007,269.481232,44630900
14-02-2023,272.670013,274.970001,269.279999,272.170013,270.32547,37047900
15-02-2023,268.320007,270.730011,266.179993,269.320007,268.164795,28922400
16-02-2023,264.019989,266.73999,261.899994,262.149994,261.025513,29603600
17-02-2023,259.390015,260.089996,256,258.059998,256.953064,30000100
21-02-2023,254.479996,255.490005,251.589996,252.669998,251.586182,28397400
22-02-2023,254.089996,254.339996,250.339996,251.509995,250.431168,22491100
23-02-2023,255.559998,256.839996,250.479996,254.770004,253.677185,29219100
24-02-2023,249.960007,251,248.100006,249.220001,248.150986,24990900
27-02-2023,252.460007,252.820007,249.389999,250.160004,249.08696,21190000
28-02-2023,249.070007,251.490005,248.729996,249.419998,248.350128,22491000
01-03-2023,250.759995,250.929993,245.789993,246.270004,245.213638,27565300
02-03-2023,246.550003,251.399994,245.610001,251.110001,250.032883,24808200
03-03-2023,252.190002,255.619995,251.389999,255.289993,254.194946,30760100
06-03-2023,256.429993,260.119995,255.979996,256.869995,255.768173,24109800
07-03-2023,256.299988,257.690002,253.389999,254.149994,253.05983,21473200
08-03-2023,254.039993,254.539993,250.809998,253.699997,252.611755,17340200
09-03-2023,255.820007,259.559998,251.580002,252.320007,251.237701,26653400
10-03-2023,251.080002,252.789993,247.600006,248.589996,247.523682,28333900
13-03-2023,247.399994,257.910004,245.729996,253.919998,252.830826,33339700
14-03-2023,256.75,261.070007,255.860001,260.790009,259.671356,33620300
15-03-2023,259.980011,266.480011,259.209991,265.440002,264.301392,46028000
16-03-2023,265.209991,276.559998,263.279999,276.200012,275.015289,54768800
17-03-2023,278.26001,283.329987,276.320007,279.429993,278.231415,69527400
20-03-2023,276.980011,277.480011,269.850006,272.230011,271.062286,43466600
21-03-2023,274.880005,275,269.519989,273.779999,272.605621,34558700
22-03-2023,273.399994,281.040009,272.179993,272.290009,271.12204,34873300
23-03-2023,277.940002,281.059998,275.200012,277.660004,276.468994,36610900
24-03-2023,277.23999,280.630005,275.279999,280.570007,279.366516,28172000
27-03-2023,280.5,281.459991,275.519989,276.380005,275.194489,26840200
28-03-2023,275.790009,276.140015,272.049988,275.230011,274.049438,21878600
29-03-2023,278.959991,281.140015,278.410004,280.51001,279.306763,25087000
30-03-2023,284.230011,284.459991,281.480011,284.049988,282.831573,25053400
31-03-2023,283.730011,289.269989,283,288.299988,287.063354,32766000
03-04-2023,286.519989,288.269989,283.950012,287.230011,285.997955,24883300
04-04-2023,287.230011,290.450012,285.670013,287.179993,285.948151,25824300
05-04-2023,285.850006,287.149994,282.920013,284.339996,283.120331,22064800
